iter	Passed	Remaining
776	1996	573
777	1999	570
778	2002	568
779	2005	565
780	2012	564
781	2019	562
782	2022	560
783	2029	559
784	2035	557
785	2038	555
786	2040	552
787	2044	550
788	2047	547
789	2050	545
790	2053	542
791	2056	540
792	2063	538
793	2066	536
794	2072	534
795	2075	531
796	2078	529
797	2081	526
798	2084	524
799	2088	522
800	2091	519
801	2096	517
802	2102	515
803	2104	513
804	2107	510
805	2110	507
806	2112	505
807	2118	503
808	2121	500
809	2124	498
810	2131	496
811	2133	494
812	2136	491
813	2139	488
814	2147	487
815	2149	484
816	2152	482
817	2154	479
818	2159	477
819	2161	474
820	2163	471
821	2166	469
822	2168	466
823	2170	463
824	2175	461
825	2178	458
826	2181	456
827	2184	453
828	2189	451
829	2193	449
830	2195	446
831	2197	443
832	2198	440
833	2202	438
834	2204	435
835	2206	432
836	2208	430
837	2210	427
838	2212	424
839	2214	421
840	2219	419
841	2221	416
842	2224	414
843	2226	411
844	2228	408
845	2232	406
846	2234	403
847	2236	400
848	2238	398
849	2240	395
850	2242	392
851	2245	390
852	2247	387
853	2249	384
854	2251	381
855	2252	378
856	2254	376
857	2256	373
858	2258	370
859	2261	368
860	2263	365
861	2264	362
862	2266	359
863	2268	357
864	2270	354
865	2275	352
866	2277	349
867	2280	346
868	2283	344
869	2285	341
870	2288	338
871	2290	336
872	2292	333
873	2295	330
874	2297	328
875	2300	325
876	2303	323
877	2305	320
878	2308	317
879	2310	315
880	2312	312
881	2317	309
882	2319	307
883	2320	304
884	2322	301
885	2324	299
886	2326	296
887	2331	294
888	2333	291
889	2335	288
890	2337	285
891	2339	283
892	2341	280
893	2343	277
894	2345	275
895	2347	272
896	2349	269
897	2350	267
898	2352	264
899	2353	261
900	2355	258
901	2357	256
902	2359	253
903	2361	250
904	2363	248
905	2364	245
906	2366	242
907	2367	239
908	2369	237
909	2370	234
910	2373	231
911	2374	229
912	2376	226
913	2377	223
914	2379	221
915	2380	218
916	2382	215
917	2383	212
918	2386	210
919	2388	207
920	2390	205
921	2391	202
922	2393	199
923	2395	196
924	2396	194
925	2397	191
926	2399	188
927	2401	186
928	2403	183
